Unit (kt or %),Date 年,Sectors,Emissions or annual change,Gas (rename),Name
Kt CO2 eq,1999年,International Aviation,82056.708418601,All greenhouse gases,EU-27
Kt CO2 eq,2000年,International Aviation,85119.316525150,All greenhouse gases,EU-27
Kt CO2 eq,2001年,International Aviation,84406.893440704,All greenhouse gases,EU-27
Kt CO2 eq,2002年,International Aviation,81831.192477132,All greenhouse gases,EU-27
Kt CO2 eq,2003年,International Aviation,85465.434329878,All greenhouse gases,EU-27
Kt CO2 eq,2004年,International Aviation,90396.862070132,All greenhouse gases,EU-27
Kt CO2 eq,2005年,International Aviation,95849.013864713,All greenhouse gases,EU-27
Kt CO2 eq,2006年,International Aviation,100827.626006964,All greenhouse gases,EU-27
Kt CO2 eq,2007年,International Aviation,105524.566163282,All greenhouse gases,EU-27
Kt CO2 eq,2008年,International Aviation,107169.271385337,All greenhouse gases,EU-27
Kt CO2 eq,2009年,International Aviation,98420.074813311,All greenhouse gases,EU-27
Kt CO2 eq,2010年,International Aviation,100183.675369761,All greenhouse gases,EU-27
Kt CO2 eq,2011年,International Aviation,102669.020252281,All greenhouse gases,EU-27
Kt CO2 eq,2012年,International Aviation,101368.720678659,All greenhouse gases,EU-27
Kt CO2 eq,2013年,International Aviation,102265.271461376,All greenhouse gases,EU-27
Kt CO2 eq,2014年,International Aviation,104376.340625586,All greenhouse gases,EU-27
Kt CO2 eq,2015年,International Aviation,108287.935754107,All greenhouse gases,EU-27
Kt CO2 eq,2016年,International Aviation,114738.635423541,All greenhouse gases,EU-27
Kt CO2 eq,2017年,International Aviation,123698.340353099,All greenhouse gases,EU-27
Kt CO2 eq,2018年,International Aviation,129870.028186746,All greenhouse gases,EU-27
Kt CO2 eq,2019年,International Aviation,132589.088769613,All greenhouse gases,EU-27
Kt CO2 eq,1990年,Waste,174885.734835149,All greenhouse gases,EU-27
Kt CO2 eq,1991年,Waste,177672.214209932,All greenhouse gases,EU-27
Kt CO2 eq,1992年,Waste,179376.481944598,All greenhouse gases,EU-27
Kt CO2 eq,1993年,Waste,179405.77324026,All greenhouse gases,EU-27
Kt CO2 eq,1994年,Waste,178256.611338344,All greenhouse gases,EU-27
Kt CO2 eq,1995年,Waste,177693.61540867,All greenhouse gases,EU-27
Kt CO2 eq,1996年,Waste,176541.789708215,All greenhouse gases,EU-27
Kt CO2 eq,1997年,Waste,173853.500245956,All greenhouse gases,EU-27
Kt CO2 eq,1998年,Waste,170756.075825976,All greenhouse gases,EU-27
Kt CO2 eq,1999年,Waste,167746.915482606,All greenhouse gases,EU-27
Kt CO2 eq,2000年,Waste,166808.834326499,All greenhouse gases,EU-27
Kt CO2 eq,2001年,Waste,164678.460274334,All greenhouse gases,EU-27
Kt CO2 eq,2002年,Waste,161944.143197719,All greenhouse gases,EU-27
Kt CO2 eq,2003年,Waste,159982.82627205,All greenhouse gases,EU-27
Kt CO2 eq,2004年,Waste,155953.713912126,All greenhouse gases,EU-27
Kt CO2 eq,2005年,Waste,151927.316344375,All greenhouse gases,EU-27
Kt CO2 eq,2006年,Waste,149171.53842136,All greenhouse gases,EU-27
Kt CO2 eq,2007年,Waste,145986.040029498,All greenhouse gases,EU-27
Kt CO2 eq,2008年,Waste,142535.289814345,All greenhouse gases,EU-27
Kt CO2 eq,2009年,Waste,140653.56419654,All greenhouse gases,EU-27
Kt CO2 eq,2010年,Waste,137816.05442058,All greenhouse gases,EU-27
Kt CO2 eq,2011年,Waste,134208.305429314,All greenhouse gases,EU-27
Kt CO2 eq,2012年,Waste,131273.281217587,All greenhouse gases,EU-27
Kt CO2 eq,2013年,Waste,128227.440744582,All greenhouse gases,EU-27
Kt CO2 eq,2014年,Waste,124485.60878413,All greenhouse gases,EU-27
Kt CO2 eq,2015年,Waste,122256.405107023,All greenhouse gases,EU-27
Kt CO2 eq,2016年,Waste,119615.592035102,All greenhouse gases,EU-27
Kt CO2 eq,2017年,Waste,118369.451556361,All greenhouse gases,EU-27
Kt CO2 eq,2018年,Waste,116835.268096999,All greenhouse gases,EU-27
Kt CO2 eq,2019年,Waste,115514.532474911,All greenhouse gases,EU-27
Kt CO2 eq,1990年,Industry,1207094.76736826,All greenhouse gases,EU-27
Kt CO2 eq,1991年,Industry,1125751.56589059,All greenhouse gases,EU-27
Kt CO2 eq,1992年,Industry,1079937.62876597,All greenhouse gases,EU-27
Kt CO2 eq,1993年,Industry,1048477.93616392,All greenhouse gases,EU-27
Kt CO2 eq,1994年,Industry,1064673.90821835,All greenhouse gases,EU-27
Kt CO2 eq,1995年,Industry,1094790.43595627,All greenhouse gases,EU-27
Kt CO2 eq,1996年,Industry,1085906.10641709,All greenhouse gases,EU-27
Kt CO2 eq,1997年,Industry,1080645.53075835,All greenhouse gases,EU-27
Kt CO2 eq,1998年,Industry,1038777.57146001,All greenhouse gases,EU-27
Kt CO2 eq,1999年,Industry,1002086.68489749,All greenhouse gases,EU-27
Kt CO2 eq,2000年,Industry,1015088.49233451,All greenhouse gases,EU-27
Kt CO2 eq,2001年,Industry,989052.578880664,All greenhouse gases,EU-27
Kt CO2 eq,2002年,Industry,978589.978591436,All greenhouse gases,EU-27
Kt CO2 eq,2003年,Industry,994990.339211297,All greenhouse gases,EU-27
Kt CO2 eq,2004年,Industry,1005067.74519856,All greenhouse gases,EU-27
Kt CO2 eq,2005年,Industry,995626.970781056,All greenhouse gases,EU-27
Kt CO2 eq,2006年,Industry,987776.388549362,All greenhouse gases,EU-27
Kt CO2 eq,2007年,Industry,1006540.35819588,All greenhouse gases,EU-27
Kt CO2 eq,2008年,Industry,960862.089908344,All greenhouse gases,EU-27
Kt CO2 eq,2009年,Industry,796107.280850756,All greenhouse gases,EU-27
Kt CO2 eq,2010年,Industry,844577.253058144,All greenhouse gases,EU-27
Kt CO2 eq,2011年,Industry,834771.965018048,All greenhouse gases,EU-27
Kt CO2 eq,2012年,Industry,803326.261561939,All greenhouse gases,EU-27
Kt CO2 eq,2013年,Industry,784287.344846708,All greenhouse gases,EU-27
Kt CO2 eq,2014年,Industry,776599.036361581,All greenhouse gases,EU-27
Kt CO2 eq,2015年,Industry,779508.424024716,All greenhouse gases,EU-27
Kt CO2 eq,2016年,Industry,784929.562238588,All greenhouse gases,EU-27
Kt CO2 eq,2017年,Industry,803580.206202895,All greenhouse gases,EU-27
Kt CO2 eq,2018年,Industry,796893.474270691,All greenhouse gases,EU-27
Kt CO2 eq,2019年,Industry,775239.651047964,All greenhouse gases,EU-27
Kt CO2 eq,1990年,Domestic transport,672347.172787346,All greenhouse gases,EU-27
Kt CO2 eq,1991年,Domestic transport,680552.475667363,All greenhouse gases,EU-27
Kt CO2 eq,1992年,Domestic transport,702459.659601587,All greenhouse gases,EU-27
Kt CO2 eq,1993年,Domestic transport,705923.238382817,All greenhouse gases,EU-27
Kt CO2 eq,1994年,Domestic transport,711156.792960458,All greenhouse gases,EU-27
Kt CO2 eq,1995年,Domestic transport,723970.049768261,All greenhouse gases,EU-27
Kt CO2 eq,1996年,Domestic transport,746194.805845088,All greenhouse gases,EU-27
Kt CO2 eq,1997年,Domestic transport,756139.15690657,All greenhouse gases,EU-27
Kt CO2 eq,1998年,Domestic transport,785374.89634733,All greenhouse gases,EU-27
Kt CO2 eq,1999年,Domestic transport,802156.445557367,All greenhouse gases,EU-27
Kt CO2 eq,2000年,Domestic transport,798421.955311112,All greenhouse gases,EU-27
Kt CO2 eq,2001年,Domestic transport,812152.751337957,All greenhouse gases,EU-27
Kt CO2 eq,2002年,Domestic transport,821198.458425578,All greenhouse gases,EU-27
Kt CO2 eq,2003年,Domestic transport,831002.148262349,All greenhouse gases,EU-27
Kt CO2 eq,2004年,Domestic transport,849369.18390255,All greenhouse gases,EU-27
Kt CO2 eq,2005年,Domestic transport,847674.418336251,All greenhouse gases,EU-27
Kt CO2 eq,2006年,Domestic transport,855733.987064955,All greenhouse gases,EU-27
Kt CO2 eq,2007年,Domestic transport,864255.859699733,All greenhouse gases,EU-27
Kt CO2 eq,2008年,Domestic transport,845049.852597705,All greenhouse gases,EU-27
Kt CO2 eq,2009年,Domestic transport,822122.0263368,All greenhouse gases,EU-27
Kt CO2 eq,2010年,Domestic transport,818542.01280924,All greenhouse gases,EU-27
Kt CO2 eq,2011年,Domestic transport,808106.07043106,All greenhouse gases,EU-27
Kt CO2 eq,2012年,Domestic transport,778391.055769287,All greenhouse gases,EU-27
Kt CO2 eq,2013年,Domestic transport,773180.646217816,All greenhouse gases,EU-27
Kt CO2 eq,2014年,Domestic transport,779222.405671846,All greenhouse gases,EU-27
Kt CO2 eq,2015年,Domestic transport,793681.71969311,All greenhouse gases,EU-27
Kt CO2 eq,2016年,Domestic transport,811639.907085029,All greenhouse gases,EU-27
Kt CO2 eq,2017年,Domestic transport,826142.903351552,All greenhouse gases,EU-27
Kt CO2 eq,2018年,Domestic transport,828194.910663739,All greenhouse gases,EU-27
Kt CO2 eq,2019年,Domestic transport,834878.338787059,All greenhouse gases,EU-27
Kt CO2 eq,1990年,Agriculture,487972.116312238,All greenhouse gases,EU-27
Kt CO2 eq,1991年,Agriculture,459334.112273869,All greenhouse gases,EU-27
Kt CO2 eq,1992年,Agriculture,437194.862172701,All greenhouse gases,EU-27
Kt CO2 eq,1993年,Agriculture,425793.288567272,All greenhouse gases,EU-27
Kt CO2 eq,1994年,Agriculture,420671.573600431,All greenhouse gases,EU-27
Kt CO2 eq,1995年,Agriculture,420635.671110642,All greenhouse gases,EU-27
Kt CO2 eq,1996年,Agriculture,422294.43552454,All greenhouse gases,EU-27
Kt CO2 eq,1997年,Agriculture,420828.066346567,All greenhouse gases,EU-27
Kt CO2 eq,1998年,Agriculture,418677.384552403,All greenhouse gases,EU-27
Kt CO2 eq,1999年,Agriculture,417110.53861161,All greenhouse gases,EU-27
Kt CO2 eq,2000年,Agriculture,413099.425556984,All greenhouse gases,EU-27
Kt CO2 eq,2001年,Agriculture,411193.163997974,All greenhouse gases,EU-27
Kt CO2 eq,2002年,Agriculture,403578.605438165,All greenhouse gases,EU-27
Kt CO2 eq,2003年,Agriculture,398862.505917241,All greenhouse gases,EU-27
Kt CO2 eq,2004年,Agriculture,397882.749263935,All greenhouse gases,EU-27
Kt CO2 eq,2005年,Agriculture,392805.038945954,All greenhouse gases,EU-27
Kt CO2 eq,2006年,Agriculture,389554.823560197,All greenhouse gases,EU-27
Kt CO2 eq,2007年,Agriculture,393290.863361304,All greenhouse gases,EU-27
Kt CO2 eq,2008年,Agriculture,389999.387527151,All greenhouse gases,EU-27
Kt CO2 eq,2009年,Agriculture,385200.742599721,All greenhouse gases,EU-27
Kt CO2 eq,2010年,Agriculture,380960.508376775,All greenhouse gases,EU-27
Kt CO2 eq,2011年,Agriculture,379956.394632236,All greenhouse gases,EU-27
Kt CO2 eq,2012年,Agriculture,379931.835145261,All greenhouse gases,EU-27
Kt CO2 eq,2013年,Agriculture,382963.52535824,All greenhouse gases,EU-27
Kt CO2 eq,2014年,Agriculture,388705.751445497,All greenhouse gases,EU-27
Kt CO2 eq,2015年,Agriculture,390318.892332252,All greenhouse gases,EU-27
Kt CO2 eq,2016年,Agriculture,391361.431934931,All greenhouse gases,EU-27
Kt CO2 eq,2017年,Agriculture,394033.282595359,All greenhouse gases,EU-27
Kt CO2 eq,2018年,Agriculture,390089.157062543,All greenhouse gases,EU-27
Kt CO2 eq,2019年,Agriculture,385786.960034424,All greenhouse gases,EU-27
